iter	Logloss	Accuracy
405	0.1999619245	0.9439461883
406	0.1995745327	0.9439461883
407	0.1992005717	0.9439461883
408	0.1991237548	0.9439461883
409	0.1988347232	0.9439461883
410	0.1982541632	0.9439461883
411	0.1979200799	0.9439461883
412	0.1973804121	0.9439461883
413	0.197149571	0.9439461883
414	0.1967525657	0.9461883408
415	0.1965015423	0.9461883408
416	0.1962411445	0.9439461883
417	0.1959911368	0.9439461883
418	0.1954701169	0.9461883408
419	0.1954085342	0.9461883408
420	0.1952766975	0.9461883408
421	0.1949391953	0.9461883408
422	0.1948201921	0.9461883408
423	0.1946401201	0.9461883408
424	0.1946314242	0.9461883408
425	0.194072588	0.9461883408
426	0.1939919257	0.9461883408
427	0.1936064183	0.9484304933
428	0.1934114824	0.9484304933
429	0.1930009041	0.9484304933
430	0.1920968611	0.9484304933
431	0.1920409127	0.9484304933
432	0.1913164233	0.9484304933
433	0.1912784384	0.9484304933
434	0.1912098319	0.9484304933
435	0.1911653271	0.9484304933
436	0.1904277764	0.9484304933
437	0.1900292859	0.9484304933
438	0.1898586964	0.9484304933
439	0.1896742707	0.9484304933
440	0.189649133	0.9484304933
441	0.1893449894	0.9484304933
442	0.1892861423	0.9484304933
443	0.1889095759	0.9484304933
444	0.1887952232	0.9484304933
445	0.1885930021	0.9484304933
446	0.188086485	0.9484304933
447	0.1878436699	0.9484304933
448	0.187763591	0.9484304933
449	0.1877284294	0.9484304933
450	0.1875604119	0.9484304933
451	0.1873494751	0.9484304933
452	0.1869214964	0.9484304933
453	0.186887398	0.9484304933
454	0.1868398228	0.9484304933
455	0.1866225996	0.9484304933
456	0.1865105589	0.9484304933
457	0.1864069977	0.9484304933
458	0.1861116382	0.9484304933
459	0.1858993247	0.9484304933
460	0.1857367923	0.9484304933
461	0.1853469742	0.9506726457
462	0.185222956	0.9506726457
463	0.1851468522	0.9506726457
464	0.1851257774	0.9506726457
465	0.1849233249	0.9506726457
466	0.1848249493	0.9506726457
467	0.1847102853	0.9506726457
468	0.1843934674	0.9506726457
469	0.1840770089	0.9506726457
470	0.1840362872	0.9506726457
471	0.1836725904	0.9529147982
472	0.1835663056	0.9529147982
473	0.1835003788	0.9529147982
474	0.1834485346	0.9529147982
475	0.1831907609	0.9529147982
476	0.1830880518	0.9529147982
477	0.1825846909	0.9529147982
478	0.1823458156	0.9529147982
479	0.1819261885	0.9529147982
480	0.1816034645	0.9529147982
481	0.1811676425	0.9529147982
482	0.180756063	0.9529147982
483	0.1806716339	0.9529147982
484	0.1805912999	0.9529147982
485	0.1801237822	0.9551569507
486	0.1799830034	0.9551569507
487	0.1796301315	0.9551569507
488	0.1793336781	0.9551569507
489	0.1789466012	0.9551569507
490	0.1783802668	0.9551569507
491	0.1775785486	0.9551569507
492	0.1775562417	0.9551569507
493	0.1774650233	0.9551569507
494	0.1772317076	0.9551569507
495	0.1768267079	0.9551569507
496	0.1767203334	0.9551569507
497	0.1763005602	0.9551569507
498	0.1761666529	0.9551569507
499	0.175435074	0.9551569507
500	0.1751756821	0.9551569507
501	0.1750011851	0.9551569507
502	0.1749195	0.9551569507
503	0.17468076	0.9551569507
504	0.174443418	0.9551569507
505	0.1743152758	0.9551569507
506	0.174051307	0.9551569507
507	0.173653314	0.9551569507
508	0.1732695205	0.9551569507
509	0.1730691748	0.9551569507
510	0.1727725744	0.9551569507
511	0.1723779753	0.9551569507
512	0.1721852551	0.9551569507
513	0.1720430815	0.9551569507
514	0.171423084	0.9551569507
515	0.1713542699	0.9551569507
516	0.1712553148	0.9551569507
517	0.1706433279	0.9551569507
518	0.1706194522	0.9551569507
