iter	Accuracy	Logloss
688	1	0.05109399946
689	1	0.05095257032
690	1	0.0508605982
691	1	0.05083664701
692	1	0.05083217642
693	1	0.05067186303
694	1	0.05064391793
695	1	0.05059148355
696	1	0.05052844714
697	1	0.05044913745
698	1	0.05037029075
699	1	0.05021907479
700	1	0.05017612101
701	1	0.05007797095
702	1	0.04998161652
703	1	0.0498969514
704	1	0.049808245
705	1	0.04968626125
706	1	0.04958754953
707	1	0.0494571042
708	1	0.04940013077
709	1	0.04926049659
710	1	0.04897804865
711	1	0.04880954132
712	1	0.04857877331
713	1	0.04849053389
714	1	0.04847678063
715	1	0.0484063365
716	1	0.04837955058
717	1	0.04836327382
718	1	0.04816049368
719	1	0.04809902317
720	1	0.04775337832
721	1	0.04762862239
722	1	0.04746626554
723	1	0.0473332059
724	1	0.04726325361
725	1	0.04703957431
726	1	0.046970134
727	1	0.0468021865
728	1	0.04671176786
729	1	0.04670451655
730	1	0.04661530887
731	1	0.04652848457
732	1	0.04639978443
733	1	0.04629465592
734	1	0.04614307698
735	1	0.0460710593
736	1	0.04595602625
737	1	0.04586653333
738	1	0.04572452963
739	1	0.04561259911
740	1	0.04558446607
741	1	0.0455150871
742	1	0.0455072279
743	1	0.04540332447
744	1	0.0452453081
745	1	0.04506481505
746	1	0.04488593498
747	1	0.04486228609
748	1	0.04485959163
749	1	0.04478710091
750	1	0.04466717247
751	1	0.04450654364
752	1	0.04447889568
753	1	0.04440474292
754	1	0.0441476673
755	1	0.0440537812
756	1	0.04400797549
757	1	0.04394666977
758	1	0.04387684025
759	1	0.043765013
760	1	0.04369610301
761	1	0.04361866739
762	1	0.04345094985
763	1	0.04311903028
764	1	0.0429797071
765	1	0.04287580931
766	1	0.04283456532
767	1	0.04276847635
768	1	0.04273026974
769	1	0.04270073988
770	1	0.04263666759
771	1	0.04257067766
772	1	0.04254382043
773	1	0.04248065759
774	1	0.04241256105
775	1	0.04219292538
776	1	0.0421885119
777	1	0.04211735583
778	1	0.04200389387
779	1	0.04190967672
780	1	0.04182613862
781	1	0.04181289962
782	1	0.04173260447
783	1	0.04148303403
784	1	0.04140557333
785	1	0.04129950152
786	1	0.04116610228
787	1	0.04116469576
788	1	0.04103827147
789	1	0.04083155131
790	1	0.04072299641
791	1	0.04064178452
792	1	0.04056014718
793	1	0.04038191441
794	1	0.04033152609
795	1	0.04019531394
